reference,hypothesis,count,group
open parenthesis,the quantity,38,Brackets/grouping
comma,and,31,punctuation/separators
times,by,30,basic operators
close,raised,23,Superscript/exponents
open square bracket,the concentration of,18,Brackets/grouping
equals,to,16,basic operators
lowercase,letter,16,latin letters
times,and,11,basic operators
and,over,5,Fractions/Divisions
lowercase,function,5,latin letters
lowercase,variable,5,latin letters
lowercase,sub,5,latin letters
equals,from,5,basic operators
divided,over,5,Fractions/Divisions
over,by,5,Fractions/Divisions
left curly brace,the set containing,4,Brackets/grouping
is,equals,4,basic operators
over,to,3,Fractions/Divisions
fraction with,quotient of,3,Fractions/Divisions
open curly brace,the set of,3,Brackets/grouping
equals,a,3,basic operators
plus,and,3,basic operators
parenthesis,quantity,3,Brackets/grouping
representing,equals,3,basic operators
with,over,3,Fractions/Divisions
superscript,to,3,Superscript/exponents
open curly brace,set of all,3,Brackets/grouping
calligraphic,script,3,greek letters
fraction with,ratio of,2,Fractions/Divisions
subscript,the,2,Subscripts/indices
upper,c,2,capitalization
open bracket,the quantity,2,Brackets/grouping
open parenthesis,n variables,2,Brackets/grouping
brace,bracket,2,Brackets/grouping
defined as,equal to,2,basic operators
lowercase,each,2,latin letters
over d,respect to,2,Fractions/Divisions
open parenthesis,function of,2,Brackets/grouping
open square bracket,of the quantity,2,Brackets/grouping
sun symbol,circled dot,2,punctuation/separators
raised to the,with a superscript,2,Superscript/exponents
index,indices,2,Subscripts/indices
uppercase,potential,2,capitalization
equals,as,2,basic operators
close parenthesis,evaluated at,2,Brackets/grouping
lowercase,premium,2,latin letters
lowercase k,k which,2,latin letters
plus,sine,2,basic operators
comma,positive,2,punctuation/separators
of open parenthesis,a function of,2,Brackets/grouping
symbol equals,equal to,2,basic operators
open parenthesis,the product,2,Brackets/grouping
superscript open,at iteration,2,Superscript/exponents
argument,beta,2,greek letters
sub,lowercase,2,latin letters
lowercase,“lowercase,2,latin letters
comma then,followed by,2,punctuation/separators
equals,at,2,basic operators
bracket,parenthesis,2,Brackets/grouping
lowercase,meaning,2,latin letters
lowercase,number,2,latin letters
comma,is,2,punctuation/separators
open curly brace,the set containing,2,Brackets/grouping
colon,to,2,punctuation/separators
of open parenthesis,at the quantity,2,Brackets/grouping
overline y,y bar,2,Fractions/Divisions
the,equals,2,basic operators
number,sum,2,summations
to,squared,2,Superscript/exponents
lowercase,of,2,latin letters
superscript,indices,2,Superscript/exponents
times,the,2,basic operators
close parenthesis,and then,2,Brackets/grouping
equals,in,2,basic operators
lowercase,rate,2,latin letters
