reference,hypothesis,count,group
open parenthesis,the quantity,30,Brackets/grouping
comma,and,24,punctuation/separators
times,by,23,basic operators
equals,to,19,basic operators
times,and,14,basic operators
close,raised,13,Superscript/exponents
over,by,11,Fractions/Divisions
open square bracket,the concentration of,10,Brackets/grouping
superscript,sup,7,Superscript/exponents
divided,over,6,Fractions/Divisions
fraction with,ratio of,5,Fractions/Divisions
equals,from,5,basic operators
open curly brace,the set of,5,Brackets/grouping
equals,as,5,basic operators
overline y,y bar,5,Fractions/Divisions
and,over,4,Fractions/Divisions
dot dot,up to,4,punctuation/separators
equals,is,4,basic operators
comma,to,4,punctuation/separators
lowercase,vector,4,latin letters
calligraphic,script,4,greek letters
bar subscript,for group,4,Subscripts/indices
left superscript,mass number,3,Superscript/exponents
a left subscript,an atomic number,3,Subscripts/indices
plus,is,3,basic operators
superscript,to,3,Superscript/exponents
close,times,3,basic operators
representing,equals,3,basic operators
and,plus,3,basic operators
colon,from,3,punctuation/separators
lowercase,function,3,latin letters
open,uppercase,3,capitalization
open,lowercase,3,latin letters
lowercase,the,3,latin letters
lowercase,letter,3,latin letters
sub,lowercase,3,latin letters
equals,in,2,basic operators
lowercase,s,2,latin letters
comma,then,2,punctuation/separators
dot,ellipsis,2,punctuation/separators
in,set,2,Brackets/grouping
equals,variable,2,basic operators
plus,and,2,basic operators
open parenthesis,by a,2,Brackets/grouping
per annum for,annual return over,2,Fractions/Divisions
over d,respect to,2,Fractions/Divisions
comma,frequency,2,punctuation/separators
sub,index,2,Subscripts/indices
div of open parenthesis,of the product of,2,Brackets/grouping
quantity in brackets,is open parenthesis,2,Brackets/grouping
number,lowercase,2,latin letters
times,in,2,basic operators
is,plus,2,basic operators
dot dot dot,on up to,2,punctuation/separators
close parenthesis,end quantity,2,Brackets/grouping
comma,where,2,punctuation/separators
open parenthesis,evaluated at,2,Brackets/grouping
lowercase,denoted,2,latin letters
lowercase,constant,2,latin letters
lowercase,signal,2,latin letters
open bracket,the quantity,2,Brackets/grouping
over,and,2,Fractions/Divisions
comma,positive,2,punctuation/separators
close,equals,2,basic operators
subscript,with,2,Subscripts/indices
lowercase,and,2,latin letters
comma then,then another,2,punctuation/separators
lowercase,by,2,latin letters
parenthesis,parenthesis”,2,Brackets/grouping
superscript,of,2,Superscript/exponents
subscript,the,2,Subscripts/indices
lowercase,rate,2,latin letters
squared,bar,2,Superscript/exponents
upper,ess,2,capitalization
upper,aitch,2,capitalization
upper s,ess oh,2,capitalization
left curly brace,the set containing,2,Brackets/grouping
superscript,naught,1,Superscript/exponents
free energy of forming a nucleic acid duplex symbolized,states that the total change in free energy represented,1,optimization operators
superscript,degrees,1,Superscript/exponents
superscript circle,degrees starting,1,Superscript/exponents
celsius for the i-th nearest-neighbor,starting parenthesis i ending parenthesis,1,Brackets/grouping
close bracket,closing parenthesis,1,Brackets/grouping
d over d t of,the rate of change in,1,Fractions/Divisions
fraction with numerator,be found using,1,Fractions/Divisions
two times,one to,1,basic operators
corresponding absolute temperatures and mu is,dynamic viscosity of the solvent of,1,greek letters
subscript,naught,1,Subscripts/indices
subscript,o,1,Subscripts/indices
subscript,number,1,Subscripts/indices
superscript,number,1,Superscript/exponents
general leaching reaction in,being a subscript and,1,Subscripts/indices
vapor pressure of component,denoted as p subscript,1,Subscripts/indices
and a right superscript asterisk,is an excited compound nucleus,1,Superscript/exponents
is,squared,1,Superscript/exponents
denotes the light,and a superscript,1,Superscript/exponents
pi here referring,the mathematical constant,1,greek letters
comma dot dot dot comma,the same pattern and finally,1,punctuation/separators
intersection of big b of open parenthesis,component containing a vertex represented by the,1,Brackets/grouping
close parenthesis which,appointed as root,1,Brackets/grouping
close parenthesis,and the,1,Brackets/grouping
and so on,a numerical subscript,1,Subscripts/indices
assumed by,expressed as,1,summations
from the mosfet shown as,represented by i with subscripted,1,Subscripts/indices
close parenthesis p mod open parenthesis,approximately uniformly distributed between zero and,1,Brackets/grouping
left curly brace,the sequence of,1,Brackets/grouping
node considered after the i-th move,fraction with the natural logarithm of,1,Fractions/Divisions
open curly brace a,the language defined as,1,Brackets/grouping
n b to the power,consisting of some number n,1,Superscript/exponents
m c to the power of,symbol a followed by some number,1,Superscript/exponents
are greater than zero close curly brace which is one,of the symbol c followed by the same number n,1,Brackets/grouping
context-free languages used as an example of an inherently ambiguous language,d where both n and m must be greater than zero,1,greek letters
specifically little,the lowercase,1,latin letters
followed by little,and the lowercase,1,latin letters
where little,the lowercase,1,latin letters
little,lowercase,1,latin letters
lowercase,parameter,1,latin letters
comma,for,1,punctuation/separators
representing the value of,leveraged is equal to,1,basic operators
brace,bracket,1,Brackets/grouping
brace,then,1,Brackets/grouping
l vertical bar,e with subscript,1,Subscripts/indices
specifies the feasible action–type pairs,values of t sub i,1,Subscripts/indices
lowercase,as,1,latin letters
lowercase,time,1,latin letters
close fraction,time t,1,Fractions/Divisions
insurance premium lowercase q,probability that an individual,1,latin letters
sub lowercase,at time,1,latin letters
lowercase t is,the observation of,1,latin letters
two close parenthesis,at time two,1,Brackets/grouping
market value,the sum,1,summations
dividend,asset,1,Brackets/grouping
fraction,price,1,Fractions/Divisions
close parenthesis,high low,1,Brackets/grouping
equals f,the number,1,basic operators
times,to,1,basic operators
quantity in brackets,by the quantity,1,Brackets/grouping
from,over,1,Fractions/Divisions
this sum,of which,1,summations
lowercase n,real numbers,1,latin letters
which is less,must be greater,1,greek letters
lowercase b,constant a,1,latin letters
plus,with,1,basic operators
square bracket,fourier transform,1,Brackets/grouping
product,multiplication,1,greek letters
is,equals,1,basic operators
set,degrees,1,Brackets/grouping
times d,derivative of,1,basic operators
comma where t is an element of,arrow above it with t belonging to,1,punctuation/separators
close parenthesis,and with,1,Brackets/grouping
for the,bracket of,1,Brackets/grouping
superscript,sub,1,Superscript/exponents
subscript one which denotes,is translation equivalent with,1,Subscripts/indices
close parenthesis,in degrees,1,Brackets/grouping
fraction with numerator,carrier distribution function,1,Fractions/Divisions
open parenthesis,angular frequency,1,Brackets/grouping
open angle bracket,a fermi field,1,Brackets/grouping
open square bracket,of the quantity,1,Brackets/grouping
open parenthesis,three arguments,1,Brackets/grouping
close parenthesis,differential equation,1,Brackets/grouping
over,of,1,Fractions/Divisions
fraction with numerator,designated by a,1,Fractions/Divisions
close parenthesis,the sun,1,Brackets/grouping
of incidence known,is equal to,1,basic operators
bold lowercase,product with,1,latin letters
lowercase,dividing,1,latin letters
conservation,governing,1,Fractions/Divisions
times,is,1,basic operators
close parenthesis,to diffusion,1,Brackets/grouping
above it comma,with a bar,1,punctuation/separators
representation for fermions describing the anti-four representation of su,the minimal supersymmetric pati-salam model in an extended model,1,optimization operators
expectation value of,is equal to,1,basic operators
and with,parenthesis the,1,Brackets/grouping
open parenthesis,function of,1,Brackets/grouping
close absolute value all squared,a weighted least squares problem,1,Superscript/exponents
curly left brace for,when the shape parameter,1,Brackets/grouping
comma,parameter,1,punctuation/separators
vertical bar,lowercase n,1,latin letters
onto,times,1,basic operators
brackets: first,a sequence:,1,Brackets/grouping
and so on displayed as dot dot,continuing to a final term which is,1,punctuation/separators
lowercase z is a specific level,which accounts for the causal effect,1,latin letters
where the ranking position is taken from,this multiplier is used to account for,1,greek letters
equals one,is equal,1,basic operators
theta hat where,estimator denoted as,1,greek letters
close fraction then,volts this is,1,Fractions/Divisions
upper o,in the,1,capitalization
superscript zero of open,degrees celsius for the,1,Superscript/exponents
contribution from forming terminal base,change at thirty-seven degrees celsius,1,optimization operators
function,lowercase,1,latin letters
vertical bar,ket lowercase,1,latin letters
respect to,plus tau,1,basic operators
rate of change of,factor alpha accounts for,1,greek letters
concentration of reactant uppercase a,stoichiometry meaning that each forward,1,capitalization
step that,event consumes,1,summations
k subscript,while each,1,Subscripts/indices
and the negative term,event produces alpha molecules,1,greek letters
comma,component,1,punctuation/separators
result models,formula gives,1,greek letters
a conjugated pi-electron system such as,model which is used to describe,1,greek letters
homo to lumo transition in,of a pi electron along,1,greek letters
left superscript and,having atomic number,1,Superscript/exponents
left subscript,yields ununennium-three,1,Subscripts/indices
as left superscript,having atomic number,1,Superscript/exponents
as left subscript right,in an excited state,1,Subscripts/indices
o fourf pi,of electron pairs,1,greek letters
system under consideration,pi is odd,1,greek letters
following chain,a set,1,Brackets/grouping
close parenthesis which,\) intersected with,1,Brackets/grouping
of vertices reachable from lowercase,\( f \) of \(,1,latin letters
by backwards,\) equals,1,basic operators
lowercase,\(,1,latin letters
close parenthesis p mod open,all taken modulo the quantity,1,Brackets/grouping
close parenthesis where,the context defines,1,Brackets/grouping
each uppercase,when the,1,capitalization
logical,formula,1,greek letters
left curly brace,of n constructors,1,Brackets/grouping
sequence,letter,1,latin letters
is a byte value from the,two this formula represents a two-byte,1,greek letters
parameter b equals zero representing,bm25 ranking function family where,1,basic operators
best matching or b m fifteen ranking function variant of,free coefficient for document length normalization the formula states that,1,greek letters
m twenty-five,equals zero,1,basic operators
open curly brace all,the set of points,1,Brackets/grouping
preferred,dominates,1,optimization operators
symmetry axiom colon the,order of individual incomes,1,punctuation/separators
symmetric,permuted,1,greek letters
comma open,the pair,1,punctuation/separators
divided,t,1,Fractions/Divisions
namely uppercase,price level,1,capitalization
divided,one,1,Fractions/Divisions
lowercase p,a payment,1,latin letters
actuarially fair insurance premium,payment divided by q,1,Fractions/Divisions
upper,c,1,capitalization
close parenthesis,of firms,1,Brackets/grouping
this equation,given formula,1,greek letters
order two in which lowercase,variables the equation states that,1,latin letters
lowercase,constants,1,latin letters
lowercase,terms,1,latin letters
sub two are coefficient matrices and lowercase,coefficients for the second lag the vector,1,latin letters
public's holdings of,sum of the,1,summations
ratio known,formula is,1,greek letters
total,sum,1,summations
equals today's advancing stocks which are the number of individual issues gaining value,states that the ad line value for today equals today’s number of advancing,1,basic operators
spot prices respectively e,natural logarithm the exponent,1,Superscript/exponents
euler's number and,rate r plus,1,basic operators
entire quantity in parentheses is,the convenience yield u all,1,Brackets/grouping
lowercase,in,1,latin letters
natural logarithm of,mccallum rule formula,1,greek letters
monetary base at,term m subscript,1,Subscripts/indices
fifty percent times ten percent equals five percent which is the approximate reduction in the debt-to-g d p,inflation is more pronounced the higher the debt to gdp ratio is such that at a fifty percent,1,basic operators
times,the,1,basic operators
is the,close parenthesis,1,Brackets/grouping
lowercase i,i not,1,latin letters
close parenthesis,component x,1,Brackets/grouping
lowercase x,constant a,1,latin letters
close square bracket this,where the bracketed expression,1,Brackets/grouping
of convergent sequences whose components are y sub i,element in c is given by a convergent sequence,1,Subscripts/indices
formula for,entry of,1,greek letters
vector x,formula describes,1,greek letters
vector c of t is the parametric representation,plane where the vector x equals vector c,1,basic operators
a regular curve comma,t with the parameter,1,punctuation/separators
topological group whose,recovered from its,1,Fractions/Divisions
fraction whose numerator is,of the distribution function,1,Fractions/Divisions
